date,stadium,race_no,combo,odds,target,local_3ren,st,course,kimarite,motor,boat,racer_rank,odds,wind_speed,is_headwind,is_tailwind,exh_time,turn_time,water_type,in_rate,national_win_rate,national_2nd_rate
2026-08-18,三国,2,3-2-4,144.8,0,48.373333333333335,0.15333333333333335,30.0,35.0,30.0,30.0,2.0,144.8,0.0,0,0,6.8,6.8,0.0,0.45,5.0,30.0
2026-08-18,三国,2,5-2-3,159.4,0,53.25666666666666,0.16333333333333333,30.0,35.0,30.0,30.0,2.0,159.4,0.0,0,0,6.8,6.8,0.0,0.45,5.0,30.0
2026-08-18,三国,2,1-3-5,11.9,0,34.656666666666666,0.17333333333333334,30.0,35.0,30.0,30.0,2.0,11.9,0.0,0,0,6.8,6.8,0.0,0.45,5.0,30.0
2026-08-18,三国,2,2-3-5,70.8,0,53.25666666666667,0.16333333333333336,30.0,35.0,30.0,30.0,2.0,70.8,0.0,0,0,6.8,6.8,0.0,0.45,5.0,30.0
2026-08-18,三国,2,3-2-5,77.0,0,53.25666666666667,0.16333333333333336,30.0,35.0,30.0,30.0,2.0,77.0,0.0,0,0,6.8,6.8,0.0,0.45,5.0,30.0
2026-08-18,三国,2,4-2-5,197.1,0,47.336666666666666,0.16666666666666666,30.0,35.0,30.0,30.0,2.0,197.1,0.0,0,0,6.8,6.8,0.0,0.45,5.0,30.0
2026-08-18,三国,2,1-3-6,65.7,0,29.186666666666667,0.17,30.0,35.0,30.0,30.0,2.0,65.7,0.0,0,0,6.8,6.8,0.0,0.45,5.0,30.0
2026-08-18,三国,2,1-4-2,38.8,0,30.526666666666667,0.15333333333333335,30.0,35.0,30.0,30.0,2.0,38.8,0.0,0,0,6.8,6.8,0.0,0.45,5.0,30.0
2026-08-18,三国,2,2-4-1,164.9,0,30.526666666666667,0.15333333333333335,30.0,35.0,30.0,30.0,2.0,164.9,0.0,0,0,6.8,6.8,0.0,0.45,5.0,30.0
2026-08-18,三国,2,3-4-1,171.7,0,29.77333333333333,0.16333333333333333,30.0,35.0,30.0,30.0,2.0,171.7,0.0,0,0,6.8,6.8,0.0,0.45,5.0,30.0
2026-08-18,三国,2,5-3-1,155.2,0,34.656666666666666,0.17333333333333334,30.0,35.0,30.0,30.0,2.0,155.2,0.0,0,0,6.8,6.8,0.0,0.45,5.0,30.0
