date,stadium,rno,combo,local_3ren,st,course,kimarite,motor,boat,racer_rank,exh_time,turn_time,water_type,in_rate,national_win_rate,national_2nd_rate,wind_speed,is_headwind,is_tailwind,grade_score,is_rough_sign,target
2026-09-05,1,2,1-2-5,50.93,0.19,35.0,37.0,35.0,35.0,2.0,6.75,6.75,0.01,0.5,5.5,35.0,2.1,1,0,1,0,0
2026-09-05,1,2,2-1-5,50.93,0.19,35.0,37.0,35.0,35.0,2.0,6.75,6.75,0.02,0.5,5.5,35.0,2.2,1,0,1,0,0
2026-09-05,1,2,3-1-5,40.19,0.1933333333333333,35.0,37.0,35.0,35.0,2.0,6.75,6.75,0.03,0.5,5.5,35.0,2.3,1,0,1,0,0
2026-09-05,1,2,4-1-5,30.93,0.1966666666666666,35.0,37.0,35.0,35.0,2.0,6.75,6.75,0.04,0.5,5.5,35.0,2.4,1,0,1,0,0
2026-09-05,1,2,5-1-4,30.93,0.1966666666666666,35.0,37.0,35.0,35.0,2.0,6.75,6.75,0.05,0.5,5.5,35.0,2.5,1,0,1,0,0
2026-09-05,1,2,6-1-4,27.08333333333333,0.1866666666666666,35.0,37.0,35.0,35.0,2.0,6.75,6.75,0.06,0.5,5.5,35.0,2.6,1,0,1,0,0
2026-09-05,1,2,1-2-6,47.083333333333336,0.18,35.0,37.0,35.0,35.0,2.0,6.75,6.75,0.01,0.5,5.5,35.0,2.1,1,0,1,0,0
2026-09-05,1,2,2-1-6,47.083333333333336,0.18,35.0,37.0,35.0,35.0,2.0,6.75,6.75,0.02,0.5,5.5,35.0,2.2,1,0,1,0,0
2026-09-05,1,2,3-1-6,36.34333333333333,0.1833333333333333,35.0,37.0,35.0,35.0,2.0,6.75,6.75,0.03,0.5,5.5,35.0,2.3,1,0,1,0,0
2026-09-05,1,2,4-1-6,27.08333333333333,0.1866666666666666,35.0,37.0,35.0,35.0,2.0,6.75,6.75,0.04,0.5,5.5,35.0,2.4,1,0,1,0,0
2026-09-05,1,2,5-1-6,47.59666666666666,0.1933333333333333,35.0,37.0,35.0,35.0,2.0,6.75,6.75,0.05,0.5,5.5,35.0,2.5,1,0,1,0,0
2026-09-05,1,2,6-1-5,47.59666666666666,0.1933333333333333,35.0,37.0,35.0,35.0,2.0,6.75,6.75,0.06,0.5,5.5,35.0,2.6,1,0,1,0,0
2026-09-05,1,2,1-3-2,39.67666666666667,0.18,35.0,37.0,35.0,35.0,2.0,6.75,6.75,0.01,0.5,5.5,35.0,2.1,1,0,1,0,0
2026-09-05,1,2,2-3-1,39.67666666666667,0.18,35.0,37.0,35.0,35.0,2.0,6.75,6.75,0.02,0.5,5.5,35.0,2.2,1,0,1,0,0
2026-09-05,1,2,3-2-1,39.67666666666667,0.18,35.0,37.0,35.0,35.0,2.0,6.75,6.75,0.03,0.5,5.5,35.0,2.3,1,0,1,0,0
2026-09-05,1,2,4-2-1,30.416666666666668,0.1833333333333333,35.0,37.0,35.0,35.0,2.0,6.75,6.75,0.04,0.5,5.5,35.0,2.4,1,0,1,0,0
2026-09-05,1,2,5-2-1,50.93,0.1899999999999999,35.0,37.0,35.0,35.0,2.0,6.75,6.75,0.05,0.5,5.5,35.0,2.5,1,0,1,0,0
